DB;Rep;Fold;AlgA;AlgB;AlgC;AlgD
1;1;1;0.91;0.823;0.898;0.91
1;1;2;0.916;0.739;0.839;0.854
1;1;3;0.764;0.82;0.876;0.882
1;1;4;0.876;0.814;0.767;0.807
1;1;5;0.966;0.627;0.767;0.748
1;1;6;0.873;0.814;0.798;0.803
1;1;7;0.833;0.958;0.917;0.923
1;1;8;0.904;0.901;0.856;0.865
1;1;9;0.833;0.803;0.91;0.913
1;1;10;0.759;0.809;0.766;0.783
1;2;1;0.922;0.876;0.907;0.907
1;2;2;0.91;0.873;0.907;0.916
1;2;3;0.755;0.739;0.857;0.863
1;2;4;0.87;0.826;0.876;0.866
1;2;5;0.966;0.873;0.87;0.87
1;2;6;0.888;0.699;0.752;0.752
1;2;7;0.827;0.846;0.766;0.769
1;2;8;0.897;0.718;0.772;0.779
1;2;9;0.843;0.722;0.839;0.846
1;2;10;0.799;0.893;0.906;0.933
1;3;1;0.925;0.801;0.814;0.798
1;3;2;0.907;0.885;0.842;0.876
1;3;3;0.755;0.789;0.752;0.77
1;3;4;0.891;0.972;0.919;0.925
1;3;5;0.966;0.863;0.866;0.885
1;3;6;0.882;0.761;0.845;0.835
1;3;7;0.84;0.747;0.84;0.798
1;3;8;0.897;0.808;0.849;0.846
1;3;9;0.826;0.853;0.946;0.936
1;3;10;0.763;0.779;0.793;0.803
1;4;1;0.922;0.901;0.87;0.876
1;4;2;0.91;0.767;0.832;0.835
1;4;3;0.77;0.814;0.894;0.904
1;4;4;0.894;0.795;0.879;0.873
1;4;5;0.966;0.826;0.885;0.913
1;4;6;0.898;0.842;0.929;0.932
1;4;7;0.833;0.654;0.692;0.705
1;4;8;0.91;0.785;0.795;0.801
1;4;9;0.833;0.779;0.793;0.789
1;4;10;0.773;0.809;0.833;0.853
1;5;1;0.913;0.795;0.894;0.904
1;5;2;0.91;0.879;0.888;0.913
1;5;3;0.758;0.767;0.854;0.86
1;5;4;0.87;0.665;0.717;0.717
1;5;5;0.966;0.907;0.96;0.966
1;5;6;0.879;0.832;0.807;0.795
1;5;7;0.833;0.843;0.865;0.859
1;5;8;0.894;0.849;0.801;0.824
1;5;9;0.836;0.722;0.763;0.816
1;5;10;0.769;0.866;0.836;0.836
1;6;1;0.904;0.689;0.73;0.767
1;6;2;0.916;0.929;0.947;0.969
1;6;3;0.764;0.87;0.876;0.863
1;6;4;0.882;0.78;0.857;0.832
1;6;5;0.963;0.876;0.876;0.882
1;6;6;0.898;0.842;0.876;0.894
1;6;7;0.846;0.833;0.808;0.804
1;6;8;0.897;0.718;0.74;0.756
1;6;9;0.823;0.855;0.863;0.858
1;6;10;0.773;0.823;0.829;0.846
1;7;1;0.919;0.882;0.929;0.929
1;7;2;0.907;0.925;0.916;0.922
1;7;3;0.764;0.705;0.776;0.767
1;7;4;0.882;0.823;0.86;0.835
1;7;5;0.972;0.842;0.866;0.87
1;7;6;0.894;0.745;0.832;0.814
1;7;7;0.821;0.875;0.837;0.849
1;7;8;0.901;0.731;0.833;0.798
1;7;9;0.843;0.98;0.913;0.926
1;7;10;0.796;0.632;0.676;0.706
1;8;1;0.913;0.811;0.811;0.854
1;8;2;0.919;0.823;0.888;0.882
1;8;3;0.755;0.783;0.839;0.832
1;8;4;0.891;0.839;0.845;0.845
1;8;5;0.966;0.792;0.839;0.837
1;8;6;0.894;0.748;0.807;0.832
1;8;7;0.824;0.837;0.84;0.846
1;8;8;0.907;0.843;0.891;0.91
1;8;9;0.829;0.883;0.86;0.866
1;8;10;0.796;0.839;0.866;0.87
1;9;1;0.922;0.811;0.851;0.854
1;9;2;0.907;0.832;0.901;0.896
1;9;3;0.755;0.839;0.86;0.866
1;9;4;0.873;0.804;0.857;0.882
1;9;5;0.966;0.807;0.916;0.885
1;9;6;0.898;0.776;0.832;0.82
1;9;7;0.824;0.712;0.772;0.763
1;9;8;0.904;0.766;0.744;0.772
1;9;9;0.843;0.846;0.836;0.846
1;9;10;0.799;0.806;0.843;0.856
1;10;1;0.925;0.863;0.894;0.91
1;10;2;0.913;0.854;0.922;0.932
1;10;3;0.773;0.879;0.919;0.913
1;10;4;0.885;0.851;0.907;0.891
1;10;5;0.963;0.748;0.814;0.811
1;10;6;0.888;0.72;0.829;0.828
1;10;7;0.853;0.795;0.814;0.814
1;10;8;0.897;0.808;0.859;0.853
1;10;9;0.843;0.763;0.702;0.712
1;10;10;0.773;0.789;0.763;0.779
2;1;1;0.925;0.893;0.921;0.924
2;1;2;0.921;0.874;0.966;0.935
2;1;3;0.921;0.711;0.873;0.907
2;1;4;0.879;0.809;0.883;0.912
2;1;5;0.889;0.757;0.911;0.905
2;1;6;0.888;0.812;0.902;0.895
2;1;7;0.928;0.907;0.958;0.936
2;1;8;0.902;0.853;0.924;0.933
2;1;9;0.886;0.862;0.93;0.932
2;1;10;0.899;0.879;0.926;0.929
2;2;1;0.932;0.886;0.945;0.951
2;2;2;0.921;0.834;0.914;0.916
2;2;3;0.914;0.883;0.945;0.938
2;2;4;0.879;0.876;0.947;0.952
2;2;5;0.897;0.726;0.928;0.927
2;2;6;0.89;0.862;0.892;0.893
2;2;7;0.934;0.818;0.958;0.957
2;2;8;0.896;0.791;0.878;0.865
2;2;9;0.891;0.808;0.908;0.922
2;2;10;0.893;0.803;0.869;0.859
2;3;1;0.929;0.822;0.927;0.924
2;3;2;0.916;0.78;0.874;0.874
2;3;3;0.898;0.865;0.913;0.937
2;3;4;0.88;0.874;0.941;0.957
2;3;5;0.889;0.883;0.95;0.96
2;3;6;0.89;0.834;0.873;0.862
2;3;7;0.93;0.763;0.846;0.836
2;3;8;0.901;0.836;0.938;0.944
2;3;9;0.952;0.83;0.954;0.945
2;3;10;0.895;0.884;0.954;0.945
2;4;1;0.932;0.734;0.839;0.824
2;4;2;0.924;0.827;0.905;0.919
2;4;3;0.915;0.821;0.939;0.937
2;4;4;0.88;0.796;0.902;0.882
2;4;5;0.887;0.821;0.93;0.93
2;4;6;0.888;0.892;0.949;0.947
2;4;7;0.926;0.854;0.912;0.926
2;4;8;0.914;0.834;0.933;0.953
2;4;9;0.898;0.845;0.924;0.943
2;4;10;0.894;0.892;0.972;0.957
2;5;1;0.928;0.848;0.935;0.946
2;5;2;0.917;0.879;0.988;0.985
2;5;3;0.908;0.77;0.868;0.835
2;5;4;0.877;0.855;0.885;0.895
2;5;5;0.892;0.788;0.879;0.89
2;5;6;0.892;0.916;0.973;0.959
2;5;7;0.93;0.744;0.898;0.906
2;5;8;0.902;0.932;0.967;0.956
2;5;9;0.9;0.785;0.921;0.917
2;5;10;0.891;0.798;0.872;0.881
2;6;1;0.935;0.807;0.889;0.918
2;6;2;0.911;0.846;0.938;0.917
2;6;3;0.915;0.875;0.973;0.969
2;6;4;0.878;0.854;0.963;0.955
2;6;5;0.886;0.776;0.873;0.902
2;6;6;0.884;0.81;0.891;0.891
2;6;7;0.937;0.776;0.924;0.943
2;6;8;0.911;0.843;0.921;0.906
2;6;9;0.9;0.827;0.875;0.879
2;6;10;0.901;0.857;0.957;0.946
2;7;1;0.931;0.796;0.873;0.868
2;7;2;0.921;0.911;0.969;0.965
